Name,API Name,Instance Family,Instance Memory,vCPUs,Arch,On Demand,Linux Spot Average cost,Generation
C7GN Extra Large,c7gn.xlarge,c7gn,8 GiB,4 vCPUs,arm64,unavailable,unavailable,current
C6A Large,c6a.large,c6a,4 GiB,2 vCPUs,x86_64,$0.0467 hourly,$0.0210 hourly,current
R7A Medium,r7a.medium,r7a,8 GiB,1 vCPUs,x86_64,unavailable,unavailable,current
C6I Extra Large,c6i.xlarge,c6i,8 GiB,4 vCPUs,x86_64,$0.1700 hourly,$0.0748 hourly,current
C5 High-CPU Double Extra Large,c5.2xlarge,c5,16 GiB,8 vCPUs,x86_64,$0.3400 hourly,$0.1258 hourly,current
T4G Medium,t4g.medium,t4g,4 GiB,2 vCPUs (4h 48m burst),arm64,$0.0224 hourly,$0.0076 hourly,current
M5DN Double Extra Large,m5dn.2xlarge,m5dn,32 GiB,8 vCPUs,x86_64,unavailable,unavailable,current
R5A Large,r5a.large,r5a,16 GiB,2 vCPUs,x86_64,$0.0720 hourly,$0.0281 hourly,current
C6ID Large,c6id.large,c6id,4 GiB,2 vCPUs,x86_64,unavailable,unavailable,current
T3 Nano,t3.nano,t3,0.5 GiB,2 vCPUs (1h 12m burst),x86_64,$0.0056 hourly,$0.0008 hourly,current
M6A Double Extra Large,m6a.2xlarge,m6a,32 GiB,8 vCPUs,x86_64,$0.2222 hourly,$0.1111 hourly,current
T3 Large,t3.large,t3,8 GiB,2 vCPUs (7h 12m burst),x86_64,$0.0896 hourly,$0.0314 hourly,current
M6A Large,m6a.large,m6a,8 GiB,2 vCPUs,x86_64,$0.0556 hourly,$0.0250 hourly,current
C5N Double Extra Large,c5n.2xlarge,c5n,21 GiB,8 vCPUs,x86_64,$0.4320 hourly,$0.2549 hourly,current
C5N Extra Large,c5n.xlarge,c5n,10.5 GiB,4 vCPUs,x86_64,$0.2160 hourly,$0.1145 hourly,current
M6I Large,m6i.large,m6i,8 GiB,2 vCPUs,x86_64,$0.1010 hourly,$0.0424 hourly,current
M4 General Purpose Double Extra Large,m4.2xlarge,m4,32 GiB,8 vCPUs,x86_64,$0.4200 hourly,$0.1764 hourly,current
M7I Large,m7i.large,m7i,8 GiB,2 vCPUs,x86_64,$0.1061 hourly,$0.0488 hourly,current
IM4GN Large,im4gn.large,im4gn,8 GiB,2 vCPUs,arm64,unavailable,unavailable,current
R7G Extra Large,r7g.xlarge,r7g,32 GiB,4 vCPUs,arm64,$0.1502 hourly,$0.0631 hourly,current
M6IDN Extra Large,m6idn.xlarge,m6idn,16 GiB,4 vCPUs,x86_64,$0.3393 hourly,$0.0916 hourly,current
C7I-FLEX Double Extra Large,c7i-flex.2xlarge,c7i-flex,16 GiB,8 vCPUs,x86_64,$0.3392 hourly,$0.1797 hourly,current
C7GD Extra Large,c7gd.xlarge,c7gd,8 GiB,4 vCPUs,arm64,$0.1152 hourly,$0.0599 hourly,current
R7A Extra Large,r7a.xlarge,r7a,32 GiB,4 vCPUs,x86_64,unavailable,unavailable,current
C7I Extra Large,c7i.xlarge,c7i,8 GiB,4 vCPUs,x86_64,$0.1785 hourly,$0.0589 hourly,current
R6I Large,r6i.large,r6i,16 GiB,2 vCPUs,x86_64,$0.1300 hourly,$0.0338 hourly,current
M5N Large,m5n.large,m5n,8 GiB,2 vCPUs,x86_64,unavailable,unavailable,current
C5 High-CPU Large,c5d.large,c5d,4 GiB,2 vCPUs,x86_64,$0.0990 hourly,$0.0356 hourly,current
R6A Large,r6a.large,r6a,16 GiB,2 vCPUs,x86_64,$0.0715 hourly,$0.0257 hourly,current
A1 Medium,a1.medium,a1,2 GiB,1 vCPUs,arm64,$0.0255 hourly,$0.0255 hourly,previous
R8G Medium,r8g.medium,r8g,8 GiB,1 vCPUs,arm64,$0.0413 hourly,$0.0062 hourly,current
C8G Extra Large,c8g.xlarge,c8g,8 GiB,4 vCPUs,arm64,$0.1080 hourly,$0.0119 hourly,current
G6 Graphics and Machine Learning GPU Extra Large,g6.xlarge,g6,16 GiB,4 vCPUs,x86_64,$0.9664 hourly,$0.2319 hourly,current
I7IE Large,i7ie.large,i7ie,16 GiB,2 vCPUs,x86_64,unavailable,unavailable,current
T2 Micro,t2.micro,t2,1 GiB,1 vCPUs (2h 24m burst),"i386, x86_64",$0.0124 hourly,$0.0014 hourly,current
R5AD Extra Large,r5ad.xlarge,r5ad,32 GiB,4 vCPUs,x86_64,$0.1660 hourly,$0.0979 hourly,current
C6IN Large,c6in.large,c6in,4 GiB,2 vCPUs,x86_64,$0.1134 hourly,$0.0431 hourly,current
C6ID Double Extra Large,c6id.2xlarge,c6id,16 GiB,8 vCPUs,x86_64,unavailable,unavailable,current
C7GD Large,c7gd.large,c7gd,4 GiB,2 vCPUs,arm64,$0.0576 hourly,$0.0253 hourly,current
G6e Graphics and Machine Learning GPU Extra Large,g6e.xlarge,g6e,32 GiB,4 vCPUs,x86_64,unavailable,unavailable,current
M5 General Purpose Large,m5.large,m5,8 GiB,2 vCPUs,x86_64,$0.1010 hourly,$0.0323 hourly,current
C6GN Large,c6gn.large,c6gn,4 GiB,2 vCPUs,arm64,$0.0865 hourly,$0.0372 hourly,current
C7A Large,c7a.large,c7a,4 GiB,2 vCPUs,x86_64,unavailable,unavailable,current
C6A Extra Large,c6a.xlarge,c6a,8 GiB,4 vCPUs,x86_64,$0.0935 hourly,$0.0430 hourly,current
C7GN Large,c7gn.large,c7gn,4 GiB,2 vCPUs,arm64,unavailable,unavailable,current
I7IE Extra Large,i7ie.xlarge,i7ie,32 GiB,4 vCPUs,x86_64,unavailable,unavailable,current
T3A Medium,t3a.medium,t3a,4 GiB,2 vCPUs (4h 48m burst),x86_64,$0.0246 hourly,$0.0086 hourly,current
M5A Large,m5a.large,m5a,8 GiB,2 vCPUs,x86_64,$0.0560 hourly,$0.0241 hourly,current
M5AD Large,m5ad.large,m5ad,8 GiB,2 vCPUs,x86_64,$0.0670 hourly,$0.0322 hourly,current
M5ZN Large,m5zn.large,m5zn,8 GiB,2 vCPUs,x86_64,unavailable,unavailable,current
M6IN Large,m6in.large,m6in,8 GiB,2 vCPUs,x86_64,$0.1451 hourly,$0.0421 hourly,current
C6I Double Extra Large,c6i.2xlarge,c6i,16 GiB,8 vCPUs,x86_64,$0.3400 hourly,$0.1462 hourly,current
C7I Double Extra Large,c7i.2xlarge,c7i,16 GiB,8 vCPUs,x86_64,$0.3570 hourly,$0.1178 hourly,current
R7IZ Extra Large,r7iz.xlarge,r7iz,32 GiB,4 vCPUs,x86_64,unavailable,unavailable,current
R6ID Large,r6id.large,r6id,16 GiB,2 vCPUs,x86_64,$0.1586 hourly,$0.0412 hourly,current
C5 High-CPU Double Extra Large,c5d.2xlarge,c5d,16 GiB,8 vCPUs,x86_64,$0.3960 hourly,$0.1861 hourly,current
M6IN Double Extra Large,m6in.2xlarge,m6in,32 GiB,8 vCPUs,x86_64,$0.5803 hourly,$0.2031 hourly,current
M7I-FLEX Extra Large,m7i-flex.xlarge,m7i-flex,16 GiB,4 vCPUs,x86_64,$0.2015 hourly,$0.0786 hourly,current
M6ID Large,m6id.large,m6id,8 GiB,2 vCPUs,x86_64,$0.1281 hourly,$0.0346 hourly,current
C5A Extra Large,c5a.xlarge,c5a,8 GiB,4 vCPUs,x86_64,$0.0940 hourly,$0.0602 hourly,current
M6GD Medium,m6gd.medium,m6gd,4 GiB,1 vCPUs,arm64,$0.0302 hourly,$0.0066 hourly,current
C6ID Extra Large,c6id.xlarge,c6id,8 GiB,4 vCPUs,x86_64,unavailable,unavailable,current
D2 Extra Large,d2.xlarge,d2,30.5 GiB,4 vCPUs,x86_64,$0.8270 hourly,$0.0992 hourly,previous
R5DN Extra Large,r5dn.xlarge,r5dn,32 GiB,4 vCPUs,x86_64,unavailable,unavailable,current
M8G Medium,m8g.medium,m8g,4 GiB,1 vCPUs,arm64,$0.0321 hourly,$0.0032 hourly,current
R7I Large,r7i.large,r7i,16 GiB,2 vCPUs,x86_64,$0.1365 hourly,$0.0328 hourly,current
M5DN Extra Large,m5dn.xlarge,m5dn,16 GiB,4 vCPUs,x86_64,unavailable,unavailable,current
I3EN Extra Large,i3en.xlarge,i3en,32 GiB,4 vCPUs,x86_64,$0.5140 hourly,$0.1696 hourly,current
C8GD Medium,c8gd.medium,c8gd,2 GiB,1 vCPUs,arm64,unavailable,unavailable,current
C6G Extra Large,c6g.xlarge,c6g,8 GiB,4 vCPUs,arm64,$0.0852 hourly,$0.0400 hourly,current
R6ID Extra Large,r6id.xlarge,r6id,32 GiB,4 vCPUs,x86_64,$0.3172 hourly,$0.1078 hourly,current
R6I Extra Large,r6i.xlarge,r6i,32 GiB,4 vCPUs,x86_64,$0.2600 hourly,$0.0806 hourly,current
M5N Double Extra Large,m5n.2xlarge,m5n,32 GiB,8 vCPUs,x86_64,unavailable,unavailable,current
R6G Extra Large,r6g.xlarge,r6g,32 GiB,4 vCPUs,arm64,$0.1300 hourly,$0.0624 hourly,current
C5N Large,c5n.large,c5n,5.25 GiB,2 vCPUs,x86_64,$0.1080 hourly,$0.0410 hourly,current
C5AD Double Extra Large,c5ad.2xlarge,c5ad,16 GiB,8 vCPUs,x86_64,unavailable,unavailable,current
M5A Double Extra Large,m5a.2xlarge,m5a,32 GiB,8 vCPUs,x86_64,$0.2220 hourly,$0.1110 hourly,current
M5 General Purpose Double Extra Large,m5.2xlarge,m5,32 GiB,8 vCPUs,x86_64,$0.4040 hourly,$0.1495 hourly,current
R6IDN Large,r6idn.large,r6idn,16 GiB,2 vCPUs,x86_64,unavailable,unavailable,current
M7I-FLEX Large,m7i-flex.large,m7i-flex,8 GiB,2 vCPUs,x86_64,$0.1008 hourly,$0.0302 hourly,current
M7A Large,m7a.large,m7a,8 GiB,2 vCPUs,x86_64,unavailable,unavailable,current
