Name,API Name,Instance Family,Instance Memory,vCPUs,Arch,On Demand,Linux Spot Average cost,Generation
R8GD Large,r8gd.large,r8gd,16 GiB,2 vCPUs,arm64,unavailable,unavailable,current
R8GD Medium,r8gd.medium,r8gd,8 GiB,1 vCPUs,arm64,unavailable,unavailable,current
R7A Large,r7a.large,r7a,16 GiB,2 vCPUs,x86_64,unavailable,unavailable,current
M5 General Purpose Extra Large,m5d.xlarge,m5d,16 GiB,4 vCPUs,x86_64,$0.2440 hourly,$0.0756 hourly,current
C8G Double Extra Large,c8g.2xlarge,c8g,16 GiB,8 vCPUs,arm64,$0.2159 hourly,$0.0259 hourly,current
T4G Nano,t4g.nano,t4g,0.5 GiB,2 vCPUs (1h 12m burst),arm64,$0.0028 hourly,$0.0007 hourly,current
R3 High-Memory Extra Large,r3.xlarge,r3,30.5 GiB,4 vCPUs,x86_64,$0.3790 hourly,$0.1213 hourly,previous
C7GN Double Extra Large,c7gn.2xlarge,c7gn,16 GiB,8 vCPUs,arm64,unavailable,unavailable,current
C5A Large,c5a.large,c5a,4 GiB,2 vCPUs,x86_64,$0.0470 hourly,$0.0240 hourly,current
C7A Double Extra Large,c7a.2xlarge,c7a,16 GiB,8 vCPUs,x86_64,unavailable,unavailable,current
M8G Large,m8g.large,m8g,8 GiB,2 vCPUs,arm64,$0.0642 hourly,$0.0071 hourly,current
C7GN Medium,c7gn.medium,c7gn,2 GiB,1 vCPUs,arm64,unavailable,unavailable,current
C6GD Large,c6gd.large,c6gd,4 GiB,2 vCPUs,arm64,$0.0490 hourly,$0.0201 hourly,current
M5ZN Extra Large,m5zn.xlarge,m5zn,16 GiB,4 vCPUs,x86_64,unavailable,unavailable,current
C7G Medium,c7g.medium,c7g,2 GiB,1 vCPUs,arm64,$0.0245 hourly,$0.0110 hourly,current
R8GD Extra Large,r8gd.xlarge,r8gd,32 GiB,4 vCPUs,arm64,unavailable,unavailable,current
R5 Extra Large,r5.xlarge,r5,32 GiB,4 vCPUs,x86_64,$0.2600 hourly,$0.1014 hourly,current
M8G Double Extra Large,m8g.2xlarge,m8g,32 GiB,8 vCPUs,arm64,$0.2566 hourly,$0.0282 hourly,current
C7I Large,c7i.large,c7i,4 GiB,2 vCPUs,x86_64,$0.0892 hourly,$0.0277 hourly,current
R7GD Extra Large,r7gd.xlarge,r7gd,32 GiB,4 vCPUs,arm64,$0.1760 hourly,$0.0862 hourly,current
M7G Medium,m7g.medium,m7g,4 GiB,1 vCPUs,arm64,$0.0292 hourly,$0.0128 hourly,current
T2 Extra Large,t2.xlarge,t2,16 GiB,4 vCPUs (5h 24m burst),x86_64,$0.1984 hourly,$0.0655 hourly,current
C4 High-CPU Large,c4.large,c4,3.75 GiB,2 vCPUs,x86_64,$0.1000 hourly,$0.0360 hourly,current
M7GD Extra Large,m7gd.xlarge,m7gd,16 GiB,4 vCPUs,arm64,$0.1420 hourly,$0.0767 hourly,current
T2 Medium,t2.medium,t2,4 GiB,2 vCPUs (4h 48m burst),"i386, x86_64",$0.0496 hourly,$0.0164 hourly,current
R6IN Extra Large,r6in.xlarge,r6in,32 GiB,4 vCPUs,x86_64,unavailable,unavailable,current
M7A Medium,m7a.medium,m7a,4 GiB,1 vCPUs,x86_64,unavailable,unavailable,current
R7GD Medium,r7gd.medium,r7gd,8 GiB,1 vCPUs,arm64,$0.0440 hourly,$0.0158 hourly,current
M7I-FLEX Double Extra Large,m7i-flex.2xlarge,m7i-flex,32 GiB,8 vCPUs,x86_64,$0.4030 hourly,$0.1814 hourly,current
T2 Large,t2.large,t2,8 GiB,2 vCPUs (7h 12m burst),x86_64,$0.0992 hourly,$0.0327 hourly,current
C7A Extra Large,c7a.xlarge,c7a,8 GiB,4 vCPUs,x86_64,unavailable,unavailable,current
I7I Extra Large,i7i.xlarge,i7i,32 GiB,4 vCPUs,x86_64,unavailable,unavailable,current
M7G Extra Large,m7g.xlarge,m7g,16 GiB,4 vCPUs,arm64,$0.1166 hourly,$0.0583 hourly,current
M6GD Double Extra Large,m6gd.2xlarge,m6gd,32 GiB,8 vCPUs,arm64,$0.2416 hourly,$0.1280 hourly,current
M6G Medium,m6g.medium,m6g,4 GiB,1 vCPUs,arm64,$0.0253 hourly,$0.0111 hourly,current
R7G Medium,r7g.medium,r7g,8 GiB,1 vCPUs,arm64,$0.0375 hourly,$0.0180 hourly,current
C8G Medium,c8g.medium,c8g,2 GiB,1 vCPUs,arm64,$0.0270 hourly,$0.0032 hourly,current
R5D Extra Large,r5d.xlarge,r5d,32 GiB,4 vCPUs,x86_64,$0.3020 hourly,$0.1329 hourly,current
M4 General Purpose Large,m4.large,m4,8 GiB,2 vCPUs,x86_64,$0.1050 hourly,$0.0420 hourly,current
R4 High-Memory Large,r4.large,r4,15.25 GiB,2 vCPUs,x86_64,$0.1370 hourly,$0.0548 hourly,current
I4I Large,i4i.large,i4i,16 GiB,2 vCPUs,x86_64,$0.1950 hourly,$0.0312 hourly,current
X2GD Large,x2gd.large,x2gd,32 GiB,2 vCPUs,arm64,unavailable,unavailable,current
C8GD Extra Large,c8gd.xlarge,c8gd,8 GiB,4 vCPUs,arm64,unavailable,unavailable,current
C6GD Double Extra Large,c6gd.2xlarge,c6gd,16 GiB,8 vCPUs,arm64,$0.1960 hourly,$0.0627 hourly,current
G4AD Double Extra Large,g4ad.2xlarge,g4ad,32 GiB,8 vCPUs,x86_64,unavailable,unavailable,current
M7G Large,m7g.large,m7g,8 GiB,2 vCPUs,arm64,$0.0583 hourly,$0.0239 hourly,current
T2 Small,t2.small,t2,2 GiB,1 vCPUs (4h 48m burst),"i386, x86_64",$0.0248 hourly,$0.0060 hourly,current
R8G Large,r8g.large,r8g,16 GiB,2 vCPUs,arm64,$0.0826 hourly,$0.0339 hourly,current
C7I-FLEX Large,c7i-flex.large,c7i-flex,4 GiB,2 vCPUs,x86_64,$0.0848 hourly,$0.0246 hourly,current
IM4GN Extra Large,im4gn.xlarge,im4gn,16 GiB,4 vCPUs,arm64,unavailable,unavailable,current
M5DN Large,m5dn.large,m5dn,8 GiB,2 vCPUs,x86_64,unavailable,unavailable,current
A1 Double Extra Large,a1.2xlarge,a1,16 GiB,8 vCPUs,arm64,$0.2040 hourly,$0.2040 hourly,previous
R5B Extra Large,r5b.xlarge,r5b,32 GiB,4 vCPUs,x86_64,unavailable,unavailable,current
R6GD Extra Large,r6gd.xlarge,r6gd,32 GiB,4 vCPUs,arm64,$0.1495 hourly,$0.0852 hourly,current
R6IDN Extra Large,r6idn.xlarge,r6idn,32 GiB,4 vCPUs,x86_64,unavailable,unavailable,current
C8GD Double Extra Large,c8gd.2xlarge,c8gd,16 GiB,8 vCPUs,arm64,unavailable,unavailable,current
C6GN Medium,c6gn.medium,c6gn,2 GiB,1 vCPUs,arm64,$0.0432 hourly,$0.0074 hourly,current
T3 Micro,t3.micro,t3,1 GiB,2 vCPUs (2h 24m burst),x86_64,$0.0112 hourly,$0.0027 hourly,current
M8GD Extra Large,m8gd.xlarge,m8gd,16 GiB,4 vCPUs,arm64,unavailable,unavailable,current
I2 Extra Large,i2.xlarge,i2,30.5 GiB,4 vCPUs,x86_64,$0.9670 hourly,$0.0967 hourly,previous
I4G Extra Large,i4g.xlarge,i4g,32 GiB,4 vCPUs,arm64,unavailable,unavailable,current
C8G Large,c8g.large,c8g,4 GiB,2 vCPUs,arm64,$0.0540 hourly,$0.0054 hourly,current
A1 Extra Large,a1.xlarge,a1,8 GiB,4 vCPUs,arm64,$0.1020 hourly,$0.1020 hourly,previous
M8GD Large,m8gd.large,m8gd,8 GiB,2 vCPUs,arm64,unavailable,unavailable,current
C7G Large,c7g.large,c7g,4 GiB,2 vCPUs,arm64,$0.0491 hourly,$0.0275 hourly,current
C7G Extra Large,c7g.xlarge,c7g,8 GiB,4 vCPUs,arm64,$0.0982 hourly,$0.0530 hourly,current
R7G Large,r7g.large,r7g,16 GiB,2 vCPUs,arm64,$0.0751 hourly,$0.0278 hourly,current
A1 Large,a1.large,a1,4 GiB,2 vCPUs,arm64,$0.0510 hourly,$0.0510 hourly,previous
G5 Graphics and Machine Learning GPU Double Extra Large,g5.2xlarge,g5,32 GiB,8 vCPUs,x86_64,$1.4554 hourly,$0.4512 hourly,current
Z1D Extra Large,z1d.xlarge,z1d,32 GiB,4 vCPUs,x86_64,$0.3920 hourly,$0.1058 hourly,current
I3 High I/O Large,i3.large,i3,15.25 GiB,2 vCPUs,x86_64,$0.1770 hourly,$0.0248 hourly,current
R6IN Large,r6in.large,r6in,16 GiB,2 vCPUs,x86_64,unavailable,unavailable,current
M6GD Large,m6gd.large,m6gd,8 GiB,2 vCPUs,arm64,$0.0604 hourly,$0.0260 hourly,current
R4 High-Memory Extra Large,r4.xlarge,r4,30.5 GiB,4 vCPUs,x86_64,$0.2740 hourly,$0.1315 hourly,current
C7I-FLEX Extra Large,c7i-flex.xlarge,c7i-flex,8 GiB,4 vCPUs,x86_64,$0.1696 hourly,$0.0627 hourly,current
C6GN Double Extra Large,c6gn.2xlarge,c6gn,16 GiB,8 vCPUs,arm64,$0.3460 hourly,$0.1799 hourly,current
M8GD Medium,m8gd.medium,m8gd,4 GiB,1 vCPUs,arm64,unavailable,unavailable,current
R6GD Large,r6gd.large,r6gd,16 GiB,2 vCPUs,arm64,$0.0747 hourly,$0.0276 hourly,current
C7G Double Extra Large,c7g.2xlarge,c7g,16 GiB,8 vCPUs,arm64,$0.1963 hourly,$0.0883 hourly,current
M8GD Double Extra Large,m8gd.2xlarge,m8gd,32 GiB,8 vCPUs,arm64,unavailable,unavailable,current
G5 Graphics and Machine Learning GPU Extra Large,g5.xlarge,g5,16 GiB,4 vCPUs,x86_64,$1.2080 hourly,$0.3745 hourly,current
T3A Nano,t3a.nano,t3a,0.5 GiB,2 vCPUs (1h 12m burst),x86_64,$0.0031 hourly,$0.0007 hourly,current
C6G Large,c6g.large,c6g,4 GiB,2 vCPUs,arm64,$0.0426 hourly,$0.0187 hourly,current
C6GN Extra Large,c6gn.xlarge,c6gn,8 GiB,4 vCPUs,arm64,$0.1730 hourly,$0.0865 hourly,current
C6GD Medium,c6gd.medium,c6gd,2 GiB,1 vCPUs,arm64,$0.0245 hourly,$0.0047 hourly,current
R8G Extra Large,r8g.xlarge,r8g,32 GiB,4 vCPUs,arm64,$0.1652 hourly,$0.0859 hourly,current
X2GD Medium,x2gd.medium,x2gd,16 GiB,1 vCPUs,arm64,unavailable,unavailable,current
IM4GN Double Extra Large,im4gn.2xlarge,im4gn,32 GiB,8 vCPUs,arm64,unavailable,unavailable,current
TRN1 Double Extra Large,trn1.2xlarge,trn1,32 GiB,8 vCPUs,x86_64,unavailable,unavailable,current
M7G Double Extra Large,m7g.2xlarge,m7g,32 GiB,8 vCPUs,arm64,$0.2333 hourly,$0.1236 hourly,current
IS4GEN Large,is4gen.large,is4gen,12 GiB,2 vCPUs,arm64,$0.3275 hourly,$0.0360 hourly,current
R6GD Medium,r6gd.medium,r6gd,8 GiB,1 vCPUs,arm64,$0.0374 hourly,$0.0079 hourly,current
IS4GEN Extra Large,is4gen.xlarge,is4gen,24 GiB,4 vCPUs,arm64,$0.6550 hourly,$0.1441 hourly,current
C6G Double Extra Large,c6g.2xlarge,c6g,16 GiB,8 vCPUs,arm64,$0.1704 hourly,$0.0801 hourly,current
C7GD Medium,c7gd.medium,c7gd,2 GiB,1 vCPUs,arm64,$0.0288 hourly,$0.0101 hourly,current
T4G Extra Large,t4g.xlarge,t4g,16 GiB,4 vCPUs (9h 36m burst),arm64,$0.0896 hourly,$0.0376 hourly,current
T2 Nano,t2.nano,t2,0.5 GiB,1 vCPUs (1h 12m burst),"i386, x86_64",$0.0062 hourly,unavailable,current
INF2 Extra Large,inf2.xlarge,inf2,16 GiB,4 vCPUs,x86_64,$0.9857 hourly,$0.1478 hourly,current
I2 Large,i2.large,i2,15 GiB,2 vCPUs,x86_64,unavailable,unavailable,previous
IS4GEN Medium,is4gen.medium,is4gen,6 GiB,1 vCPUs,arm64,$0.1638 hourly,$0.0164 hourly,current
MAC2-M2 Metal,mac2-m2.metal,mac2-m2,24 GiB,8 vCPUs,arm64_mac,unavailable,unavailable,current
MAC2 Metal,mac2.metal,mac2,16 GiB,8 vCPUs,arm64_mac,unavailable,unavailable,current
C3 High-CPU Large,c3.large,c3,3.75 GiB,2 vCPUs,"i386, x86_64",unavailable,unavailable,previous
X8G Large,x8g.large,x8g,32 GiB,2 vCPUs,arm64,unavailable,unavailable,current
M3 General Purpose Double Extra Large,m3.2xlarge,m3,30 GiB,8 vCPUs,x86_64,unavailable,unavailable,previous
C3 High-CPU Double Extra Large,c3.2xlarge,c3,15 GiB,8 vCPUs,x86_64,unavailable,unavailable,previous
D3EN Extra Large,d3en.xlarge,d3en,16 GiB,4 vCPUs,x86_64,unavailable,unavailable,current
C8GN Extra Large,c8gn.xlarge,c8gn,8 GiB,4 vCPUs,arm64,unavailable,unavailable,current
M3 General Purpose Large,m3.large,m3,7.5 GiB,2 vCPUs,x86_64,unavailable,unavailable,previous
D3EN Double Extra Large,d3en.2xlarge,d3en,32 GiB,8 vCPUs,x86_64,unavailable,unavailable,current
I8G Large,i8g.large,i8g,16 GiB,2 vCPUs,arm64,unavailable,unavailable,current
M3 General Purpose Medium,m3.medium,m3,3.75 GiB,1 vCPUs,x86_64,unavailable,unavailable,previous
C3 High-CPU Extra Large,c3.xlarge,c3,7.5 GiB,4 vCPUs,x86_64,unavailable,unavailable,previous
M1 General Purpose Extra Large,m1.xlarge,m1,15 GiB,4 vCPUs,x86_64,unavailable,unavailable,previous
M3 General Purpose Extra Large,m3.xlarge,m3,15 GiB,4 vCPUs,x86_64,unavailable,unavailable,previous
M1 General Purpose Medium,m1.medium,m1,3.75 GiB,1 vCPUs,"i386, x86_64",unavailable,unavailable,previous
M1 General Purpose Small,m1.small,m1,1.7 GiB,1 vCPUs,"i386, x86_64",unavailable,unavailable,previous
M1 General Purpose Large,m1.large,m1,7.5 GiB,2 vCPUs,x86_64,unavailable,unavailable,previous
I8G Extra Large,i8g.xlarge,i8g,32 GiB,4 vCPUs,arm64,unavailable,unavailable,current
G2 Double Extra Large,g2.2xlarge,g2,15 GiB,8 vCPUs,x86_64,unavailable,unavailable,previous
X8G Medium,x8g.medium,x8g,16 GiB,1 vCPUs,arm64,unavailable,unavailable,current
M2 High Memory Extra Large,m2.xlarge,m2,17.1 GiB,2 vCPUs,x86_64,unavailable,unavailable,previous
C1 High-CPU Medium,c1.medium,c1,1.7 GiB,2 vCPUs,"i386, x86_64",unavailable,unavailable,previous
C8GN Large,c8gn.large,c8gn,4 GiB,2 vCPUs,arm64,unavailable,unavailable,current
C1 High-CPU Extra Large,c1.xlarge,c1,7 GiB,8 vCPUs,x86_64,unavailable,unavailable,previous
G5G Double Extra Large,g5g.2xlarge,g5g,16 GiB,8 vCPUs,arm64,unavailable,unavailable,current
C8GN Double Extra Large,c8gn.2xlarge,c8gn,16 GiB,8 vCPUs,arm64,unavailable,unavailable,current
C8GN Medium,c8gn.medium,c8gn,2 GiB,1 vCPUs,arm64,unavailable,unavailable,current
G5G Extra Large,g5g.xlarge,g5g,8 GiB,4 vCPUs,arm64,unavailable,unavailable,current
T1 Micro,t1.micro,t1,0.613 GiB,1 vCPUs,"i386, x86_64",unavailable,unavailable,previous
